year,week,start_date,n_days_in_week,a_weekly,b1_eff,b2_eff,beta_h_fitted,beta_m_fitted,beta_h_climate,beta_m_climate,valid,temp_mean,precip_mean,umid_min_mean,defor_clearcut_4wk,defor_degradation_4wk,defor_burnscar_4wk,defor_total_4wk,fire_counts_4wk,fire_trends_ha,sin_week,cos_week,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
2019,51,2019-12-24,7,0.3837154377880184,0.5693829557360263,0.06320989045427927,0.024254610788196455,0.21848103012928524,0.008289786817133714,0.1870762114390984,True,25.516142857142857,5.891971428571429,82.39241428571428,0.0,0.0,0.0,0.07,3.0,98.0,-0.12053668025532363,0.992708874098054,0,0,1,0,0,0,0
2019,52,2019-12-31,1,0.394233870967742,0.061347431278025104,0.04992398321538881,0.01968172515713131,0.024185235306663368,0.008517027006407373,0.19220435702761404,True,25.777,3.4929,74.1285,0.0,0.0,0.0,0.07,0.0,98.0,6.432490598706546e-16,1.0,0,0,1,0,0,0,0
2020,0,2020-01-01,7,0.46684101382488474,0.35060150366439147,0.004929703838810493,0.0023013879379667167,0.16367516141921357,0.008979028353912481,0.2333036440113722,True,27.57765714285714,0.3700428571428572,57.875171428571434,0.0,0.0,0.0,0.07,7.0,29.0,0.0,1.0,0,0,0,1,0,0,0
2020,1,2020-01-08,7,0.41645794930875574,0.5519906258674052,0.002105443149542097,0.0008768285364444696,0.22988088408639618,0.008009981180570037,0.20812472399368456,True,26.328157142857144,2.2757571428571426,71.2214142857143,0.0,0.0,0.0,0.15000000000000002,7.0,29.0,0.12053668025532305,0.992708874098054,0,0,0,1,0,0,0
2020,2,2020-01-15,7,0.40790264976958523,0.6423744047229468,0.012395087443044364,0.005055989012143509,0.26202622183065,0.007845432062425843,0.20384921584639487,True,26.115985714285717,4.886471428571428,75.6527,0.0,0.0,0.0,0.15000000000000002,7.0,29.0,0.23931566428755774,0.970941817426052,0,0,0,1,0,0,0
2020,3,2020-01-22,7,0.46481163594470043,0.5874928470277049,0.016625415582632884,0.007727686615224105,0.27307351133275715,0.008939996133119188,0.23228946307931575,True,27.52732857142857,2.0432857142857146,65.19148571428572,0.0,0.0,0.0,0.08,8.0,29.0,0.3546048870425356,0.9350162426854148,0,0,0,1,0,0,0
2020,4,2020-01-29,7,0.4645115207373272,0.4757306895212834,0.017359972113506948,0.008063907046402705,0.2209823860509486,0.008934223840461422,0.23213948060256265,True,27.519885714285717,1.8166,65.3601,0.0,0.0,0.0,0.08,1.0,29.0,0.4647231720437685,0.8854560256532099,0,0,0,1,0,0,0
2020,5,2020-02-05,7,0.4414429723502304,0.5074985154569944,0.017441365665752856,0.007699368301337196,0.22403165312666495,0.008490532853771379,0.22061098108906196,True,26.947785714285715,0.8883285714285716,64.75928571428571,0.0,0.0,0.0,0.0,1.0,3.0,0.5680647467311558,0.8229838658936564,0,0,0,1,0,0,0
2020,6,2020-02-12,7,0.4217390552995392,0.506815814511885,0.01818280597363405,0.007668399414015243,0.21374402282310884,0.008111555804536237,0.21076395498576325,True,26.45912857142857,4.866357142857142,71.94834285714285,0.0,0.0,0.0,0.43,1.0,3.0,0.6631226582407952,0.7485107481711011,0,0,0,1,0,0,0
2020,7,2020-02-19,7,0.43444758064516126,0.28270462851739153,0.017888549438804302,0.007771637024939887,0.1228203418965698,0.008355986362339711,0.21711503637180593,True,26.774300000000004,3.2701428571428575,72.0715,0.0,0.0,0.0,0.43,0.0,3.0,0.7485107481711011,0.6631226582407953,0,0,0,1,0,0,0
