viewDate,areaMunKm,areaUcKm,uc,uf,municipio,geocod,className
26/06/2021,0.18,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2021,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2021,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/06/2021,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
28/06/2016,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
28/06/2016,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
20/08/2019,0.34,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/08/2018,0.13,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/11/2020,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
20/08/2019,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/06/2021,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
30/08/2018,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
20/07/2024,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
20/07/2024,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
22/02/2021,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
10/06/2020,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
19/09/2018,0.16,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2023,0.21,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2023,0.23,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2023,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2023,0.13,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/10/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
20/03/2019,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
27/01/2019,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
31/08/2018,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/08/2020,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/08/2018,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/08/2018,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/08/2018,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
18/08/2020,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
15/08/2016,0.26,0,,AM,Manaus,1302603,DESMATAMENTO_CR
13/09/2018,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
15/07/2024,0.09,0,,AM,Manaus,1302603,DESMATAMENTO_CR
11/10/2021,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
11/10/2021,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
24/08/2018,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
03/08/2019,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
26/03/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
12/07/2024,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
13/09/2020,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
01/04/2019,0.55,0,,AM,Manaus,1302603,DESMATAMENTO_CR
01/04/2019,0.19,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/10/2021,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/10/2021,0.06,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/10/2021,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/10/2021,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
23/08/2019,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
27/11/2024,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
29/10/2023,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
29/10/2023,0.32,0,,AM,Manaus,1302603,DESMATAMENTO_CR
29/10/2023,0.18,0,,AM,Manaus,1302603,DESMATAMENTO_CR
14/09/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/07/2024,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/07/2024,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
