date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2015-05-08,1302603,201518,23.1561,24.9424,26.9847,0.0322,3.9795,14.5361,31.8361,0.9894,0.9921,0.9942,80.0238,89.3022,96.7974
2015-05-09,1302603,201518,23.4801,25.1802,27.1338,1.3801,4.377,8.9626,35.0156,0.9883,0.9916,0.9935,80.018,89.3431,96.666
2015-05-10,1302603,201519,23.664,25.4175,28.873,0.0257,4.9339,11.6134,39.4716,0.9885,0.9911,0.9932,72.7499,89.1304,95.3019
2015-05-11,1302603,201519,23.2549,25.5585,28.4551,0.0716,3.4263,11.8032,27.4102,0.9879,0.9908,0.9926,76.7416,88.7225,97.269
2015-05-12,1302603,201519,23.0747,26.1126,29.6533,0.2022,2.381,8.9643,19.048,0.9873,0.9905,0.993,69.0811,86.733,98.2737
2015-05-13,1302603,201519,23.6099,26.9563,30.5549,0.2055,0.8416,2.1785,6.7329,0.9874,0.99,0.9919,64.2744,82.5523,95.2079
2015-05-14,1302603,201519,23.8074,26.3614,29.5147,0.3909,3.9524,6.8482,31.6191,0.9869,0.9902,0.9926,69.9996,85.2969,95.2935
2015-05-15,1302603,201519,23.9536,26.8473,29.9817,0.2188,2.6999,6.9598,21.5996,0.9876,0.99,0.992,69.4521,83.8437,95.9305
2015-05-16,1302603,201519,23.9782,25.6017,26.8483,0.5566,5.3079,11.8459,42.4635,0.9893,0.9917,0.9939,84.5441,89.3449,96.1794
2015-05-17,1302603,201520,23.5389,25.3521,27.0552,2.2043,7.6412,13.2878,61.1299,0.9899,0.9925,0.9946,81.6312,89.8741,97.4046
2015-05-18,1302603,201520,23.5239,25.4652,28.362,0.0075,10.3044,18.3779,82.4355,0.9897,0.9923,0.9942,78.9101,90.701,97.5044
2015-05-19,1302603,201520,23.2538,24.9174,27.4565,1.8208,16.3542,24.5262,130.8338,0.9901,0.9925,0.9947,81.0016,91.7381,97.7654
2015-05-20,1302603,201520,23.4301,25.3899,28.4927,0.0056,4.2244,24.5821,33.7954,0.9891,0.9918,0.9935,74.4411,89.4094,97.7268
2015-05-21,1302603,201520,23.1583,26.0112,30.442,0.0001,1.685,6.6837,13.4803,0.9891,0.9915,0.9934,64.9761,86.8188,97.6845
2015-05-22,1302603,201520,23.592,25.23,26.5702,0.8396,5.2621,10.8073,42.0968,0.9899,0.9924,0.995,82.6455,90.9406,96.684
2015-05-23,1302603,201520,23.1174,25.3127,27.7361,2.379,5.6324,11.9115,45.0592,0.9891,0.9925,0.9946,78.9776,89.3698,97.775
2015-05-24,1302603,201521,23.6745,25.6461,27.4781,0.2706,4.8381,9.3378,38.7051,0.9884,0.9913,0.9935,78.5194,88.6805,97.4096
2015-05-25,1302603,201521,23.4856,25.3525,27.882,0.2945,6.1392,10.883,49.1136,0.9888,0.9915,0.9936,78.8911,89.3219,96.6733
2015-05-26,1302603,201521,23.1934,25.3,27.443,0.232,4.0046,11.0697,32.0365,0.9888,0.9915,0.9933,80.0394,88.9036,96.9335
2015-05-27,1302603,201521,23.6319,25.6275,28.6977,0.0258,2.031,8.4807,16.2482,0.9874,0.9906,0.9924,74.5463,88.6599,97.1116
2015-05-28,1302603,201521,23.8239,26.0531,28.3379,0.5929,3.1311,6.7935,25.049,0.9866,0.9904,0.9924,76.1867,86.7907,95.7518
2015-05-29,1302603,201521,24.1402,26.0146,27.781,0.8333,5.719,16.9861,45.7522,0.9864,0.9893,0.9916,78.0507,87.7635,95.3485
2015-05-30,1302603,201521,23.6016,25.2182,27.682,0.803,6.6795,17.0087,53.4362,0.9874,0.9895,0.9915,80.7507,91.2064,97.8474
2015-05-31,1302603,201522,23.2263,25.9532,29.7561,0.2342,2.7255,9.9614,21.8039,0.9886,0.9908,0.9926,71.0191,87.663,98.8571
2015-06-01,1302603,201522,23.673,25.6111,27.4955,0.2184,3.7998,9.4038,30.3987,0.9887,0.9916,0.9937,81.9211,89.1939,97.5526
2015-06-02,1302603,201522,23.5319,25.7091,28.9128,0.0613,2.5774,9.4142,20.6195,0.9884,0.9915,0.9933,75.5579,88.5688,98.3667
2015-06-03,1302603,201522,23.4336,26.272,29.8927,0.1585,1.0914,5.5759,8.7316,0.9875,0.9906,0.9925,69.6341,86.6152,96.5094
2015-06-04,1302603,201522,24.0821,26.9001,29.9687,0.0022,1.2873,3.5553,10.298,0.9888,0.9909,0.9929,69.0581,84.0447,96.081
2015-06-05,1302603,201522,23.8015,26.5691,29.3161,0.0064,1.2465,3.8334,9.9723,0.9892,0.9917,0.9933,71.3214,84.0954,94.8661
2015-06-06,1302603,201522,24.0782,25.8667,27.7612,0.0015,2.3698,6.4651,18.958,0.9882,0.9908,0.9925,79.1721,87.0001,93.9333
2015-06-07,1302603,201523,23.857,25.5345,27.8789,1.4272,5.7927,12.1689,46.3419,0.9895,0.9911,0.9924,78.2504,89.0456,96.8428
2015-06-08,1302603,201523,22.9129,25.7165,29.1527,0.0164,1.968,12.1803,15.7442,0.9885,0.9912,0.9931,71.2309,87.5013,97.9609
2015-06-09,1302603,201523,23.3459,26.1194,29.1438,0.8359,1.4909,3.829,11.9272,0.9881,0.9906,0.9926,70.5582,85.6165,97.3601
2015-06-10,1302603,201523,23.5229,25.3286,27.4937,0.0436,3.9351,9.1916,31.4809,0.9888,0.9909,0.9928,78.1445,88.678,95.1471
2015-06-11,1302603,201523,23.3591,25.3541,27.7782,0.1153,3.38,9.2795,27.0399,0.9901,0.9915,0.9928,79.6155,89.674,98.1511
2015-06-12,1302603,201523,23.2922,26.0999,30.0386,0.0777,1.886,9.3339,15.0882,0.9886,0.9917,0.9941,67.7513,85.7292,96.2315
2015-06-13,1302603,201523,23.7798,25.8942,28.2571,0.0415,2.4157,9.7971,19.3259,0.9882,0.991,0.9928,77.3111,87.3395,95.127
