year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2022.4455852156057,5593.692821527249,3902.1589505231927,117.18427123094548,3603.883054034187,3308.7195993688897,3.542198605540663,4.655868876029004
2022.448323066393,5604.126996794161,3902.1589505231927,115.00286816943944,3596.058181828784,2348.575605661593,2.456374638389199,3.2286609251255225
2022.45106091718,5614.4071111240755,3902.1589505231927,113.08615347419706,3588.122682194121,2115.0879195627085,2.2107365003231463,2.9057939464082447
2022.453798767967,5624.665484226838,3902.1589505231927,111.20138424835642,3580.1769783172053,7810.410537492173,1.9896628493125414,2.61521455048155
2022.4565366187542,5634.902088152027,3902.15894996543,109.34802852423478,3572.221630673899,7029.369645525818,1.790702025029341,2.3536952081686864
2022.4592744695415,5645.0585485271495,3901.8960103613417,107.84684917669857,3564.257189250406,6326.432581156664,3.9403944977384153,3.0980874999001617
2022.4620123203285,5655.070088459621,3901.4076422059356,106.71921807767961,3556.2895485723593,5693.788764953334,8.498076036700468,4.864872860504658
2022.4647501711156,5664.998652880947,3901.1553313212853,105.43547847691401,3548.324934636446,5124.232028781219,11.172907680326174,5.683692604463107
2022.467488021903,5675.035043061741,3901.1015682217985,103.84493169174856,3540.3607543403036,4611.796279428829,10.833550568964142,5.28345628991854
2022.47022587269,5685.162560485574,3901.101565769105,102.11418505996403,3532.3918860009476,4150.602400349692,9.750239042007077,4.755106428278254
2022.472963723477,5695.271126420743,3901.1015657748544,100.4084768479704,3524.4169282720213,3729.460936959545,8.760924302743996,4.272625896789558
2022.4757015742641,5705.337184947421,3901.1033579728037,98.75098804986021,3516.4344663455036,3756.1332475724503,7.884828593081383,3.845361480102198
2022.4784394250514,5715.300086109121,3901.124738772627,97.18282240424996,3508.4462500295876,3380.5389314186996,7.92000197522451,3.6710322235560793
2022.4811772758385,5725.0846684637145,3901.191331776514,95.75201454946395,3500.4537825258935,3042.482418323637,8.407207282925732,5.521328037442426
2022.4839151266256,5734.945773658874,3901.2789038159326,94.22565436101974,3492.4593654797613,2738.227580598607,7.695822215137026,5.496824404181413
2022.4866529774126,5744.834536822098,3901.3339959494356,92.70764974750705,3484.461414796548,2464.4706205584143,6.926170332415269,5.133933776753202
2022.4893908282,5754.808907463304,3901.3339963409685,91.16252045997605,3476.460073051342,11807.063219476653,6.2335460009914465,4.620539758106076
2022.492128678987,5764.51948533372,3901.304314889892,89.91469684288438,3468.4549002490953,10626.357409291659,14.419886387003901,5.001060011029401
2022.494866529774,5774.001191347069,3901.269073878345,88.90017007041773,3460.4508620197594,9563.68577811313,26.03826254428272,5.923565838171264
2022.4976043805614,5783.441636370362,3901.3468591850883,87.80886889437261,3452.451832865772,8607.076686213688,32.75228798350976,6.3085118366525474
