year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.060232717317,4086.489391699044,1477.391780582423,2250.131378891986,756.6564116305262,34357.61174250098,3455.725920212208,1432.366613541273
2017.062970568104,4088.9899292534546,1477.3914914669801,2212.6298528050183,792.0855892785298,43955.13049777816,3110.155251508018,1289.1310583037732
2017.065708418891,3940.444636695968,1351.8210009421437,2452.4664719130133,826.7926560302662,39559.61750540849,4688.558473163281,1784.4110579726778
2017.0684462696784,3626.2000432335167,1279.8754932716088,2800.4773110253113,865.4015360460814,35603.61342124122,7243.6821387804075,2550.529047008326
2017.0711841204654,3334.4754395387363,1307.523046272934,3020.680445477052,909.7033522877962,32043.124077589513,8590.35039202994,2787.6927617977462
2017.0739219712525,3337.382883825214,1307.523925500149,2970.34833635875,957.555037892405,28838.74639977664,7731.431606362468,2508.9473997008486
2017.0766598220398,3340.3914804140695,1307.523925500149,2920.5690397564695,1004.7536379058291,26722.75887441261,6930.285658811553,2248.9649006684394
2017.0793976728269,3343.5721231301177,1307.523925500149,2871.8928443307436,1050.6770906155075,24050.47157039391,6237.252770435748,2024.06700789468
2017.082135523614,3346.75277282301,1307.523925500149,2823.216693668136,1096.6004915852227,21378.19568295265,5544.224204554593,1799.1705178278362
2017.084873374401,3349.9334225159027,1307.523925500149,2774.540543005528,1142.5238925549377,18705.91979551139,4851.195638673437,1574.2740277609923
2017.0876112251883,3353.1140722087957,1307.523925500149,2725.8643923429204,1188.4472935246529,16033.643908070126,4158.167072792282,1349.3775376941483
2017.0903490759754,3356.2947219016883,1307.523925500149,2677.1882416803123,1234.370694494368,13361.368020628865,3465.1385069111266,1124.4810476273042
2017.0930869267625,3359.475371594581,1307.523925500149,2628.5120910177047,1280.2940954640833,10689.092133187605,2772.109941029971,899.5845575604604
2017.0958247775495,3362.656021287474,1307.523925500149,2579.8359403550967,1326.2174964337983,8016.816245746342,2079.081375148816,674.6880674936165
2017.0985626283368,3365.8366709803663,1307.523925500149,2531.159789692489,1372.1408974035135,5344.540358305081,1386.052809267661,449.7915774267725
2017.101300479124,3369.08906391947,1307.5239251960786,2482.9462389617493,1417.5299554992168,2824.645388224899,732.5419438028699,237.71907839970584
2017.104038329911,3372.7626008847824,1301.835023556197,2447.8907100110555,1455.0287491244796,65079.48989868456,659.287747807684,213.94717003568002
2017.1067761806983,3377.1768634070486,1301.834955181803,2407.0925542847067,1491.8406107029564,58574.56397396712,593.3582989889555,192.5522342983124
2017.1095140314853,3381.6471179214877,1301.834955181803,2366.671759934313,1528.2190505389115,52427.63952981793,531.0886203431423,172.3449400332457
2017.1122518822724,3386.2191047470196,1301.8349252834355,2326.9378915941625,1563.8088619518956,46920.84044358811,475.30574022750375,154.24252211852132
2017.1149897330595,3381.205133419946,1220.326483924848,2379.3903155649155,1598.3067527497876,42228.756076229576,2260.666949500942,299.7585871746882
2017.1177275838468,3348.169713968524,1104.703289513457,2494.6673728018327,1633.5842420076742,38005.824266994125,5384.634549780866,511.4383902854516
2017.1204654346338,3278.2605784569323,1031.0284092202908,2601.577743463895,1670.6857871503703,34205.08651207332,8437.887980907592,643.1093668504443
2017.123203285421,3189.139173658246,1007.0313457806685,2676.342437058458,1709.4674617941166,30784.41203200858,10903.697320332694,675.0589104650362
2017.125941136208,3170.0332116972504,1009.970060879374,2653.015534379453,1749.3895113354108,27705.915235929988,10030.708996026306,607.5542671610616
2017.1286789869953,3175.2538161401603,1009.9700926800135,2608.7985552992627,1788.8137541720516,24935.221597874086,9027.610138278273,546.7966013000574
2017.1314168377824,3180.474564116422,1009.9700926800135,2564.581629726272,1828.2378317687812,22164.630074281085,8024.539238675641,486.04117458395126
2017.1341546885694,3185.6953120926833,1009.9700926800135,2520.364704153281,1867.6619093655106,19394.03855068809,7021.468339073011,425.2857478678451
2017.1368925393565,3190.9160600689447,1009.9700926800135,2476.1477785802904,1907.0859869622402,16623.447027095088,6018.39743947038,364.530321151739
2017.1396303901438,3196.136808045206,1009.9700926800135,2431.9308530072994,1946.5100645589696,13852.85550350209,5015.3265398677495,303.7748944356328
