year,I_H_no_intervention,I_H_with_intervention,E_H_no_intervention,E_H_with_intervention,R_H_no_intervention,R_H_with_intervention,S_H_no_intervention,S_H_with_intervention,S_M_no_intervention,S_M_with_intervention,E_M_no_intervention,E_M_with_intervention,I_M_no_intervention,I_M_with_intervention,difference,reduction_percent
2019.1273100616015,991.6203037001214,1187.818731139822,653.4936685961534,1515.7011861794929,7513.827923421658,7170.587159281276,1394.6383976414586,1396.7318221164787,26289.84087892012,26224.02013385606,1718.8132350618462,1661.9974596587715,445.4111340749103,433.7679747940504,-196.19842743970048,-19.785640401634353
2019.1300479123888,1014.170100479382,1197.34324331716,647.8438336282803,1511.5069527280184,7509.769085260953,7170.738692849482,1382.225173990773,1391.67790982241,23660.84131585297,23601.61238368008,1941.4660976316077,1845.375803107022,1273.913971755048,1240.123835042187,-183.17314283777796,-18.061382676455846
2019.132785763176,1023.5025126234788,1197.1159640847106,690.4748801484587,1543.7888619061976,7506.097158055763,7171.04853787392,1334.361542531685,1359.7413348522423,21294.7215893067,21241.424205073177,1993.3582487890249,1866.950679430528,1638.070161644876,1594.1681399953416,-173.61345146123188,-16.962679555736464
2019.135523613963,1020.015304094745,1187.3596104697854,725.2208295723062,1570.507314789376,7502.59086235705,7171.353764676149,1307.0369973352815,1342.9019087817592,19165.21919523916,19117.16011093567,1870.7596460297705,1737.0758719543298,1652.3114893958016,1607.6173241474585,-167.34430637504033,-16.406058389835334
2019.1382614647505,1005.9600302248738,1169.7798256692038,733.6032026949218,1577.0261367917274,7499.036075167548,7171.495661236014,1316.6925852720424,1354.2488750201237,17248.72842580183,17205.303525876192,1683.6834344986814,1563.3790556784809,1487.0804734788114,1446.8989585440486,-163.81979544433,-16.28492092351915
2019.140999315537,989.1940474381408,1150.2835143242144,733.603339277006,1577.02629051412,7495.256797608033,7171.344088206712,1337.6656090362085,1374.324505672021,22724.08526827115,23060.15124933476,1515.3129035942295,1407.0393821893983,1338.370494109001,1302.2074268656977,-161.08946688607352,-16.284920769920753
2019.1437371663244,972.7076359297632,1131.1123178279263,733.603814313635,1577.0269035241547,7491.208416375282,7170.867962693342,1358.6278267407106,1394.399114671639,20451.67967240004,20754.137263015586,1363.7840198971082,1266.339191707038,1204.5341024637232,1171.9877985868443,-158.40468189816306,-16.284922215785
2019.1464750171117,962.2090594584638,1116.537263131673,749.8038700360138,1589.5908640668497,7486.8963601620735,7170.073629708265,1357.6663037028404,1397.632441810272,18406.504354346984,18678.717270092675,1303.2147314277468,1208.3815650525603,1114.080365320824,1082.8275620883917,-154.32820367320915,-16.038947269948366
2019.1492128678988,957.7777647572734,1106.6088407886152,783.227798400527,1615.5766512018015,7482.421150844513,7169.038563629068,1333.576779357075,1383.0380430975729,16565.831548209855,16810.830993546708,1405.298150829978,1299.6394721568845,1146.4041507995714,1111.2444990983513,-148.8310760313418,-15.539207685517695
2019.1519507186856,952.5304787546856,1096.1829728108733,817.8530795600923,1642.6270903219515,7477.885574679105,7167.841970914161,1309.162260365507,1368.0379646700692,14905.527653975272,15128.45222152804,1455.571736002877,1342.838760454051,1153.6614424207055,1114.002714418131,-143.6524940561876,-15.081144095671906
2019.154688569473,939.1044925416884,1079.748483316698,823.02284061896,1646.703694517453,7473.273729012126,7166.4737788252105,1322.4582311866186,1382.1919420576946,13414.965832031574,13615.592290420813,1310.0148369183344,1208.5603136314917,1038.2953379299609,1002.6053875738486,-140.64399077500957,-14.976394202348697
2019.15742642026,923.4551754488136,1061.7751560594986,823.0250226206873,1646.7042843228492,7468.451189070122,7164.836964926078,1343.355806219769,1402.2293934086324,12073.15786502347,12253.163523128062,1178.9829458590216,1087.6271037778877,934.4417037366665,902.2808215825332,-138.31998061068498,-14.978526764275191
